,Alcohol,Alzheimers & Dementia,Anemia,Asthma,Birth Trauma,Bladder Cancer,Breast Cancer,Cervical Cancer,Colon-Rectum Cancers,Congenital Anomalies,Coronary Heart Disease,Diabetes Mellitus,Diarrhoeal diseases,Drownings,Drug Use,Endocrine Disorders,Falls,Fires,Hepatitis C,HIV/AIDS,Hypertension,Inflammatory/Heart,Kidney Disease,Leukemia,Liver Cancer,Liver Disease,Low Birth Weight,Lung Cancers,Lung Disease,Malaria,Malnutrition,Multiple Sclerosis,Oesophagus Cancer,Oral Cancer,Ovary Cancer,Pancreas Cancer,Peptic Ulcer Disease,Poisonings,Prostate Cancer,Rheumatic Heart Disease,Road Traffic Accidents,Skin Cancers,Skin Disease,Stomach Cancer,Stroke,Suicide,Tuberculosis,Uterin Cancer,Labor Force ,Electricity Production ,Petroleum Consumption ,Total Fertility Rates ,Young Population ,Natural Gas Consumption ,Infant Mortality Rates ,Natural Gas Production ,Taxes ,Maternal Mortality Rates ,Gross Domestic Product (GDP) ,Imports ,Older Population ,Carbon Dioxide Emissions ,Obesity ,Nuclear Electricity ,Electricity by Renewable Sources ,Natural Gas Imports ,Population ,Median Age ,Unimproved Drinking Water Sources ,Crude Oil Exports ,Hydro Electricity ,Electricity Consumption ,Inflation Rates ,External Debts ,Crude Oil Imports ,Birth Rates ,Deaths per Day,Life Expectancy,Emerging Countries,Global North Countries,Global South Countries,Medical Bankruptcies by Country,Richest Countries in the World,Social Mobility by Country,Countries by IQ - Average IQ by Country,Diabetes Rates by Country,Health Care Costs by Country,Lactose Intolerance by Country,Obesity Rates by Country,Zika Virus Countries
Belarus,119.03,0.0,0.72,0.4,1.7,676.27,2.21,17.05,2.85,282.35,2.2,0.1,4.91,3.17,1.05,6.97,4.48,0.01,1.6,2.07,10.19,676.27,3.67,2.31,14.66,0.98,18.53,12.05,0.0,0.17,0.32,3.2,6.03,8.33,7.23,676.27,2.52,5.4,1.59,6.48,1.81,0.19,10.43,88.08,16.49,2.52,2.37,2.29,4381000.0,31580.0,141000.0,1.51,16.1,17700000.0,3.31,59460.0,44.1,2.0,161175.0,31580.0,15.9,56070000.0,24.5,0.0,3.0,17530000.0,9380000.0,40.9,0.3,31730.0,1.0,31720.0,6.0,34750.0,468400.0,9.32,324.0,75.058,9432800.0,Yes,No,9432800.0,61310000000.0,9432800.0,101.6,0.06,9432800.0,9432800.0,0.245,No mosquitoes that spread Zika
Mongolia,194.38,0.0,6.03,2.96,1.04,1062.04,6.3,4.43,5.74,283.82,6.16,1.66,4.7,1.15,2.38,8.37,3.0,0.02,0.61,10.49,10.76,1062.04,1.01,84.53,75.19,3.69,20.59,18.16,0.0,0.01,0.11,19.85,2.94,14.07,4.27,1062.04,2.94,1.11,5.55,21.5,0.81,0.71,28.56,216.3,18.02,10.58,0.32,6.07,1241000.0,5339.0,27000.0,1.93,27.0,0.0,20.6,0.0,25.7,45.0,43540.0,5875.0,4.8,19860000.0,20.6,0.0,11.0,0.0,3225000.0,29.8,35.6,14360.0,2.0,5932.0,4.6,18670.0,0.0,16.32,59.0,70.334,3378078.0,No,Yes,3378078.0,13310000000.0,3378078.0,91.03,0.07,3378078.0,3378078.0,0.20600000000000002,No mosquitoes that spread Zika
Russia,129.19,0.0,0.72,0.56,2.41,727.47,3.64,16.55,3.54,204.5,7.12,0.22,4.19,5.4,1.08,5.79,3.25,0.0,12.88,6.77,26.37,727.47,3.74,4.52,22.5,1.62,22.2,13.54,0.0,0.11,0.44,3.07,4.78,12.19,8.15,727.47,3.11,5.27,1.19,11.23,2.35,1.23,11.8,117.23,21.6,4.61,2.74,7.0,76530000.0,1031000.0,3650000.0,1.6,17.2,467500000.0,6.51,665600000.0,14.7,17.0,3596444.0,238000.0,15.5,1847000000.0,23.1,11.0,1.0,15770000.0,144367000.0,40.3,3.1,4921000.0,21.0,909600.0,3.7,514800.0,76220.0,9.71,5174.0,72.842,145805947.0,Yes,No,145805947.0,1480000000000.0,145805947.0,96.29,0.06,145805947.0,145805947.0,0.231,With mosquitoes but no reported Zika cases
Guatemala,82.54,0.0,2.78,4.47,0.52,732.92,7.09,4.1,5.53,85.26,63.24,18.72,2.75,1.89,3.67,10.84,1.36,0.02,9.24,5.92,1.73,732.92,4.02,16.25,48.7,5.13,3.51,16.5,0.0,14.81,0.17,1.31,1.29,15.26,2.59,732.92,1.66,7.46,0.51,26.54,1.71,1.94,14.12,42.01,6.23,2.31,0.25,27.04,6664000.0,12120.0,89000.0,2.67,33.7,0.0,26.81,0.0,10.8,95.0,138100.0,17110.0,4.7,17150000.0,21.2,0.0,28.0,0.0,16858000.0,23.2,7.2,9383.0,31.0,10100.0,4.4,19090.0,0.0,22.79,237.0,74.828,18584039.0,No,Yes,18584039.0,77600000000.0,18584039.0,47.72,0.13,18584039.0,18584039.0,0.212,Current or past transmission but no Zika outbreak
Slovenia,134.52,0.01,0.23,0.1,3.74,386.06,1.54,14.88,2.29,57.54,6.04,0.06,0.5,1.11,2.27,11.07,0.17,0.0,0.0,11.84,5.17,386.06,4.44,6.04,10.9,1.33,27.44,10.97,0.0,0.0,0.9,2.14,3.62,4.82,8.68,386.06,0.1,8.33,2.49,4.41,3.86,0.08,7.15,31.51,13.97,0.28,2.09,0.72,959000.0,15460.0,52140.0,1.59,14.8,906100.0,1.53,8000.0,43.8,7.0,67903.0,30380.0,21.2,14370000.0,20.2,20.0,9.0,906100.0,2100000.0,44.9,0.5,0.0,34.0,13400.0,1.4,51650.0,0.0,8.5,59.0,81.696,2078034.0,Yes,No,2078034.0,53550000000.0,2078034.0,98.6,0.06,2078034.0,2078034.0,0.20199999999999999,No mosquitoes that spread Zika
El Salvador,68.73,1.92,1.72,1.36,0.61,606.56,7.19,4.87,5.99,82.54,20.97,2.88,2.09,1.15,3.34,3.52,0.33,0.0,14.6,2.11,1.19,606.56,4.8,5.51,12.89,3.59,4.43,20.12,0.0,2.96,0.11,1.22,1.42,1.47,2.49,606.56,0.24,4.56,0.09,21.36,0.88,1.72,10.79,22.58,6.11,0.9,0.64,86.75,2774000.0,5830.0,52000.0,2.07,25.8,0.0,12.38,0.0,20.5,46.0,51170.0,9499.0,7.6,7331000.0,24.6,0.0,29.0,0.0,6766000.0,27.7,6.2,0.0,23.0,5928.0,1.0,14900.0,0.0,18.22,128.0,73.846,6550389.0,No,Yes,6550389.0,24640000000.0,6550389.0,69.63,0.06,6550389.0,6550389.0,0.24600000000000002,Current or past transmission but no Zika outbreak
Ukraine,127.96,0.0,0.29,0.84,2.92,742.34,3.87,16.78,4.71,305.47,3.0,0.65,4.69,2.2,0.71,4.72,2.68,0.02,11.51,1.12,18.55,742.34,3.88,2.91,25.12,2.92,19.75,11.01,0.0,0.12,0.6,2.77,6.55,7.69,7.52,742.34,1.98,5.6,1.18,9.34,2.7,0.45,10.5,89.52,17.73,6.92,3.05,5.38,17990000.0,153600.0,233000.0,1.56,16.2,30920000.0,7.44,19730000.0,31.9,19.0,914290.0,49060.0,17.0,238900000.0,24.1,23.0,3.0,12970000.0,44142000.0,41.2,3.8,413.0,8.0,133200.0,14.4,127700.0,4720.0,9.23,1801.0,72.364,43192122.0,Yes,No,43192122.0,155300000000.0,43192122.0,90.07,0.06,43192122.0,43192122.0,0.24100000000000002,No mosquitoes that spread Zika
Poland,147.81,0.01,0.67,0.19,5.63,502.9,2.83,18.53,3.4,125.44,10.67,0.89,1.39,0.69,1.38,5.99,0.85,0.32,0.27,5.31,5.12,502.9,4.63,3.1,14.35,2.08,34.89,15.56,0.0,0.35,0.82,2.61,5.03,4.61,7.25,502.9,0.46,7.43,0.71,8.18,2.72,0.59,7.91,37.09,9.3,1.0,2.66,0.66,17600000.0,156900.0,649600.0,1.39,14.8,20100000.0,4.22,5748000.0,15.7,2.0,1189207.0,223800.0,18.7,359000000.0,23.1,0.0,19.0,15720000.0,38354000.0,41.9,1.7,4451.0,2.0,149400.0,2.0,344800.0,493100.0,8.69,1089.0,79.108,37739785.0,Yes,No,37739785.0,596630000000.0,37739785.0,96.35,0.07,37739785.0,37739785.0,0.231,No mosquitoes that spread Zika
Latvia,144.34,0.22,0.88,0.6,4.46,640.18,3.93,15.41,2.45,146.65,10.89,0.26,5.64,1.72,1.76,4.77,3.48,1.99,3.65,19.91,30.32,640.18,4.38,3.97,13.03,0.57,23.52,7.5,0.0,0.07,0.68,3.5,6.18,11.98,10.04,640.18,0.96,8.91,0.97,7.17,3.11,1.48,11.16,99.14,16.06,2.34,3.11,4.15,990000.0,6241.0,44600.0,1.54,15.3,1218000.0,4.93,0.0,34.9,19.0,56651.0,15790.0,20.5,8632000.0,23.6,0.0,8.0,1246000.0,1901000.0,44.4,0.7,0.0,53.0,6798.0,2.9,40020.0,0.0,8.96,76.0,75.594,1848837.0,Yes,No,1848837.0,33619999999.999996,1848837.0,94.79,0.06,1848837.0,1848837.0,0.23600000000000002,No mosquitoes that spread Zika
Estonia,130.48,0.2,0.77,0.54,3.45,479.58,2.78,16.5,1.98,80.39,5.04,0.3,1.67,5.73,2.51,4.63,2.17,0.23,2.77,66.42,8.86,479.58,3.75,3.91,17.29,0.76,23.24,6.59,0.0,0.0,0.74,3.85,4.43,6.52,8.77,479.58,0.47,8.53,0.75,3.7,2.51,0.83,10.12,31.23,11.96,0.62,1.99,1.84,670200.0,11550.0,28300.0,1.61,16.2,481400.0,3.47,0.0,40.7,9.0,48439.0,14420.0,21.0,5306000.0,21.2,0.0,28.0,481400.0,1329000.0,43.7,0.4,0.0,0.0,8795.0,3.7,19050.0,0.0,9.03,43.0,79.036,1321910.0,Yes,No,1321910.0,30630000000.0,1321910.0,100.72,0.07,1321910.0,1321910.0,0.212,No mosquitoes that spread Zika
Paraguay,94.72,1.43,2.17,1.95,1.0,573.23,8.87,9.58,7.21,76.66,41.85,2.78,2.55,0.57,9.48,1.62,0.98,0.05,7.0,15.87,2.6,573.23,4.42,2.68,9.16,5.8,13.04,20.96,0.0,5.61,0.14,3.08,2.34,13.54,4.58,573.23,0.2,9.73,0.73,22.6,2.19,2.45,6.25,53.27,6.16,4.51,0.8,7.96,3428000.0,63130.0,43000.0,1.89,23.4,0.0,23.83,0.0,19.1,84.0,88910.0,11350.0,7.9,7740000.0,20.3,0.0,1.0,0.0,7253000.0,29.7,2.0,0.0,99.0,10900.0,3.6,15420.0,0.0,16.43,113.0,74.488,7305843.0,No,Yes,7305843.0,35430000000.0,7305843.0,84.04,0.08,7305843.0,7305843.0,0.203,Current or past transmission but no Zika outbreak
Kazakhstan,116.98,0.0,6.41,1.62,1.9,710.14,4.25,11.61,4.11,181.63,12.42,1.25,3.71,3.7,1.63,3.84,1.91,0.01,1.79,10.39,20.8,710.14,3.26,5.46,29.46,2.69,20.51,42.36,0.0,0.46,0.27,7.03,3.57,7.79,5.97,710.14,1.92,2.98,1.55,12.85,1.57,0.17,14.16,124.19,18.05,1.56,1.97,5.2,8970000.0,100800.0,274000.0,2.13,26.1,15370000.0,19.59,22410000.0,18.2,10.0,465792.0,31850.0,8.4,304600000.0,21.0,0.0,1.0,5748000.0,18755000.0,31.6,7.1,1409000.0,14.0,94230.0,7.4,147700.0,1480.0,15.87,381.0,73.756,19205043.0,Yes,No,19205043.0,171080000000.0,19205043.0,88.89,0.07,19205043.0,19205043.0,0.21,No mosquitoes that spread Zika
Denmark,125.54,0.42,0.59,0.44,3.85,387.36,1.41,15.72,2.33,36.0,9.05,0.88,0.46,3.09,4.43,3.55,0.53,0.1,0.24,3.86,2.39,387.36,4.1,3.71,6.98,2.39,28.82,29.3,0.0,0.1,1.19,3.89,3.19,2.56,8.44,387.36,0.08,9.54,0.58,3.0,3.04,0.51,3.96,23.6,7.63,0.17,1.15,1.08,2998000.0,29840.0,158500.0,1.77,16.4,3115000.0,3.09,4842000.0,51.8,4.0,283940.0,94930.0,19.9,37450000.0,19.7,0.0,54.0,509700.0,5825000.0,42.0,0.0,82980.0,0.0,33020.0,1.1,484800.0,98240.0,11.17,159.0,81.256,5834950.0,Yes,No,5834950.0,356080000000.0,5834950.0,97.83,0.05,5834950.0,5834950.0,0.19699999999999998,No mosquitoes that spread Zika
Kyrgyzstan,95.98,0.0,1.09,4.14,1.39,668.14,6.19,6.28,6.37,246.37,5.81,1.18,3.53,2.46,0.88,2.54,1.15,0.01,3.29,10.63,6.27,668.14,2.47,9.07,34.05,7.94,13.51,30.33,0.0,0.1,0.09,3.69,2.62,4.64,4.72,668.14,1.11,2.05,2.57,13.82,1.41,0.33,17.6,92.52,8.28,6.41,1.32,5.02,2841000.0,13040.0,37000.0,2.52,30.4,186900.0,26.26,28320.0,35.2,60.0,25274.0,4187.0,5.8,10020000.0,16.6,0.0,0.0,169900.0,6524000.0,27.3,10.0,0.0,76.0,10520.0,3.2,7728.0,4480.0,20.06,107.0,71.796,6728271.0,Yes,No,6728271.0,7790000000.0,6728271.0,79.09,0.07,6728271.0,6728271.0,0.166,No mosquitoes that spread Zika
Lithuania,141.51,0.07,0.54,0.56,3.83,606.88,4.63,15.34,3.22,174.7,7.84,0.69,4.54,4.14,1.52,7.78,1.08,0.65,0.74,15.85,10.79,606.88,4.6,4.1,16.33,0.49,22.61,6.95,0.0,0.13,0.62,4.22,7.08,9.55,9.39,606.88,1.15,7.81,0.41,7.24,3.09,0.78,10.82,65.24,20.16,2.75,2.48,4.26,1467000.0,3131.0,58000.0,1.61,15.3,2492000.0,3.66,0.0,34.3,5.0,96258.0,31560.0,20.5,13490000.0,26.3,0.0,23.0,2492000.0,2794000.0,44.5,3.4,1002.0,4.0,10500.0,3.7,34480.0,182900.0,9.42,105.0,76.258,2661708.0,Yes,No,2661708.0,56500000000.0,2661708.0,95.89,0.06,2661708.0,2661708.0,0.263,No mosquitoes that spread Zika
Nicaragua,84.4,0.57,2.14,1.9,0.61,641.98,7.49,6.63,6.84,124.46,44.63,2.06,2.57,0.86,3.03,5.61,0.3,0.02,2.39,23.51,2.78,641.98,3.91,10.93,24.52,4.7,5.94,33.61,0.0,2.89,0.15,0.9,1.33,6.63,3.88,641.98,0.3,8.52,0.38,18.75,1.27,3.39,10.11,47.78,4.66,2.2,0.85,9.5,3046000.0,4454.0,37000.0,1.81,25.6,0.0,19.57,0.0,25.7,198.0,36400.0,6613.0,5.8,5405000.0,23.7,0.0,35.0,0.0,6596000.0,27.3,13.0,0.0,9.0,3590.0,3.9,11100.0,16180.0,16.71,95.0,75.014,6779100.0,No,Yes,6779100.0,12620000000.0,6779100.0,52.69,0.09,6779100.0,6779100.0,0.237,Current or past transmission but no Zika outbreak
Finland,95.0,0.03,0.48,0.21,1.97,373.41,0.62,10.24,3.26,58.6,3.51,0.12,1.2,4.52,2.38,8.17,0.69,0.05,0.08,11.23,4.58,373.41,2.76,4.01,11.51,0.74,17.24,8.59,0.0,0.06,0.72,2.5,1.72,4.29,9.12,373.41,0.26,5.93,0.11,3.09,2.23,0.17,3.37,24.54,13.43,0.17,1.57,1.06,2473000.0,66540.0,217100.0,1.74,16.4,2350000.0,2.15,0.0,53.4,3.0,228788.0,65260.0,22.3,46010000.0,22.2,17.0,23.0,2322000.0,5529000.0,42.8,0.0,0.0,20.0,82790.0,0.8,544700.0,236700.0,10.49,152.0,82.312,5554960.0,Yes,No,5554960.0,271620000000.0,5554960.0,101.2,0.06,5554960.0,5554960.0,0.222,No mosquitoes that spread Zika
Haiti,125.01,0.0,13.03,9.79,1.4,1136.06,7.46,9.45,12.01,185.49,68.22,24.56,10.84,1.33,9.87,7.18,4.38,0.08,28.3,37.02,11.57,1136.06,3.59,8.8,30.97,11.35,6.8,33.26,0.34,6.67,0.33,2.13,3.61,14.98,3.81,1136.06,1.33,20.65,9.11,19.91,0.77,5.76,11.92,162.74,11.17,9.18,0.59,20.02,4594000.0,1023.0,21000.0,2.48,31.2,0.0,41.29,0.0,18.9,480.0,19970.0,3618.0,4.3,3595000.0,22.7,0.0,0.0,0.0,11068000.0,24.1,42.3,0.0,18.0,406.0,14.7,2022.0,0.0,21.4,265.0,64.696,11680283.0,No,Yes,11680283.0,14510000000.0,11680283.0,82.1,0.09,11680283.0,11680283.0,0.22699999999999998,Current or past transmission but no Zika outbreak
Grenada,155.25,4.21,2.16,9.3,2.51,750.62,7.69,14.92,4.91,114.4,65.21,1.23,3.3,1.06,21.28,3.45,1.52,0.0,2.85,19.49,3.38,750.62,3.21,5.2,8.19,4.91,11.06,11.06,0.0,2.72,0.0,4.53,5.23,16.62,8.43,750.62,0.07,34.71,1.57,7.76,0.42,12.6,6.21,73.84,0.64,0.79,9.2,6.38,55270.0,202.0,2000.0,1.95,23.2,0.0,9.6,0.0,26.7,25.0,1634.0,316.0,10.9,283600.0,21.3,0.0,4.0,0.0,107700.0,33.3,3.4,0.0,0.0,185.0,0.9,679.0,0.0,14.27,3.0,72.55,113475.0,No,Yes,113475.0,1040000000.0,113475.0,79.34,0.13,113475.0,113475.0,0.213,Current or past transmission but no Zika outbreak
Bahamas,105.99,0.0,2.16,1.47,0.62,697.17,4.86,11.03,4.13,89.11,40.27,1.45,6.38,0.62,16.0,4.97,2.66,0.01,32.2,53.15,11.79,697.17,2.45,3.07,16.2,3.7,7.39,9.23,0.0,1.19,0.35,2.12,0.83,16.64,2.66,697.17,0.16,18.93,1.06,7.42,0.23,7.42,4.71,60.37,3.37,0.08,3.53,36.36,196900.0,1778.0,20040.0,1.98,22.0,48.0,13.05,0.0,21.0,70.0,12060.0,3180.0,8.7,3089000.0,31.6,0.0,0.0,48.0,389400.0,32.8,1.6,0.0,0.0,1654.0,1.4,17560.0,0.0,14.78,8.0,74.17,400516.0,No,Yes,400516.0,9910000000.0,400516.0,86.99,0.09,400516.0,400516.0,0.316,Current or past transmission but no Zika outbreak
Lesotho,98.23,0.0,45.32,13.7,0.7,2146.11,26.25,2.77,11.28,155.85,147.55,142.1,9.67,1.67,14.08,8.24,14.67,0.16,254.7,74.75,21.17,2146.11,2.43,4.78,51.33,18.96,3.87,83.85,0.0,17.17,0.38,5.57,3.76,28.67,0.9,2146.11,5.26,6.79,7.68,36.62,3.61,5.11,0.76,211.66,87.48,68.85,1.84,43.38,930800.0,510.0,5000.0,2.95,31.3,0.0,50.23,0.0,46.3,544.0,5623.0,1826.0,5.6,711100.0,16.6,0.0,1.0,0.0,2065000.0,24.7,18.2,0.0,100.0,847.0,5.3,948.8,0.0,23.3,81.0,55.222,2175699.0,No,Yes,2175699.0,2060000000.0,2175699.0,68.87,0.05,2175699.0,2175699.0,0.166,No mosquitoes that spread Zika
Honduras,92.66,0.0,5.38,2.01,1.39,807.1,7.28,5.47,5.87,129.2,17.54,12.93,2.28,1.88,4.73,4.25,0.56,0.05,10.97,13.62,5.73,807.1,5.95,5.92,42.99,4.71,5.99,48.99,0.0,2.73,0.15,1.38,1.51,11.53,5.42,807.1,0.61,6.23,0.75,21.07,1.09,2.62,10.44,91.09,2.58,6.16,0.37,80.96,3735000.0,8501.0,59000.0,2.05,30.2,0.0,15.39,0.0,19.0,65.0,46300.0,11320.0,5.4,9436000.0,21.4,0.0,34.0,0.0,9304000.0,24.4,8.8,0.0,25.0,7220.0,3.9,8042.0,0.0,18.19,125.0,75.694,10221247.0,No,Yes,10221247.0,23830000000.0,10221247.0,62.16,0.05,10221247.0,10221247.0,0.214,Current or past transmission but no Zika outbreak
Moldova,119.48,0.01,0.44,1.22,3.05,729.41,3.94,17.43,6.58,245.76,6.88,0.1,4.16,1.13,0.85,2.72,1.36,0.03,3.9,39.16,8.61,729.41,2.6,8.77,50.57,2.98,18.69,12.92,0.0,0.02,0.18,1.74,6.32,14.89,7.24,729.41,4.53,4.98,1.15,6.6,2.1,0.8,8.84,100.83,12.17,3.79,1.8,3.5,1295000.0,5490.0,18000.0,1.58,18.3,2520000.0,11.83,11330.0,34.5,19.0,25912.0,4427.0,14.0,7653000.0,18.9,0.0,2.0,2520000.0,3083000.0,37.7,11.6,0.0,12.0,4400.0,6.6,6362.0,20.0,10.45,131.0,72.176,4013171.0,Yes,No,4013171.0,11530000000.0,4013171.0,89.98,0.06,4013171.0,4013171.0,0.18899999999999997,No mosquitoes that spread Zika
Saint Lucia,100.98,0.0,4.32,1.76,0.0,644.23,5.46,9.43,5.16,60.16,59.14,1.89,4.88,0.92,9.99,4.11,1.51,0.0,0.0,21.09,13.71,644.23,1.85,1.64,15.59,11.0,8.35,21.32,0.0,3.01,0.21,1.5,1.36,6.74,3.34,644.23,0.13,22.51,1.8,27.06,0.0,6.62,9.38,76.66,6.85,1.24,0.97,18.65,79700.0,369.0,3100.0,1.73,19.2,0.0,12.23,0.0,12.9,117.0,2542.0,600.0,13.1,437900.0,19.7,0.0,1.0,0.0,181200.0,36.9,3.7,0.0,0.0,343.0,0.1,523.2,0.0,12.27,4.0,76.534,185113.0,No,Yes,185113.0,1620000000.0,185113.0,73.68,0.12,185113.0,185113.0,0.19699999999999998,Current or past transmission but no Zika outbreak
Germany,114.24,0.32,0.46,0.4,2.51,370.18,1.38,12.18,2.95,56.09,6.48,1.39,0.42,2.0,5.15,5.64,0.25,0.33,0.3,8.36,4.3,370.18,4.2,4.03,9.69,1.3,24.77,18.0,0.0,0.15,0.96,3.39,3.52,4.05,8.75,370.18,0.21,6.33,1.34,2.98,2.02,0.62,4.8,18.75,8.27,0.15,1.05,0.84,45900000.0,612800.0,2460000.0,1.48,12.9,93360000.0,3.24,7900000.0,43.1,7.0,4024396.0,1135000.0,23.0,847600000.0,22.3,5.0,52.0,119500000.0,83123000.0,47.8,0.0,6569.0,2.0,536500.0,1.7,5326000.0,1836000.0,8.63,2658.0,81.724,83883596.0,Yes,No,83883596.0,3840000000000.0,83883596.0,100.74,0.07,83883596.0,83883596.0,0.223,No mosquitoes that spread Zika
